account_id,industry,region,country,use_case
0013c00001s1zETAAY,eCommerce-Marketplaces,,,
0013c00001s25NLAAY,Other,,,
0013c00001tx2eJAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tx2fLAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tx2fjAAA,eCommerce-Physical goods,N. America,United States,
0013c00001pzrgmAAA,eCommerce-Physical goods,N. America,United States,
0013n00001t6FsPAAU,eCommerce-Physical goods,N. America,United States,
0013n00001t6FsbAAE,Banks & lenders-Other,N. America,United States,
0013c00001q0o5bAAA,Other,N. America,United States,
0013c00001q18hAAAQ,Other,N. America,United States,
0013c00001q18hAAAQ,Other,N. America,United States,
0013n00001t6FsxAAE,Banks & lenders-Other,N. America,United States,
0013n00001t6FtlAAE,Banks & lenders-Other,N. America,United States,
0013n00001t6FuLAAU,Banks & lenders,N. America,United States,
0013n00001t6FujAAE,Banks & lenders-Other Fintech,N. America,United States,
0013n00001t6FuwAAE,Banks & lenders-Other Fintech,N. America,United States,
0013n00001t6FviAAE,Banks & lenders-Other Fintech,N. America,United States,
0013c00001szl2GAAQ,eCommerce-Physical goods,,,
0013c00001tNWyUAAW,eCommerce-Physical goods,,,
0013n00001t6FoNAAU,Other,,,
0013c00001tx2i9AAA,eCommerce-Physical goods,N. America,United States,
0013c00001tx2jVAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tx2kDAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tx2l3AAA,eCommerce-Physical goods,N. America,United States,
0013c00001tx2lJAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tx2ldAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tydSMAAY,eCommerce-Physical goods,N. America,United States,
0013c00001q60lSAAQ,Other,N. America,United States,
0013n00001t6G5JAAU,Other,N. America,United States,
0013c00001q9LFrAAM,eCommerce-Physical goods,N. America,United States,
0013n00001t6G7LAAU,Other,N. America,United States,
0013n00001t6G7xAAE,Other,N. America,United States,
0013c00001q9V7PAAU,eCommerce-Physical goods,N. America,United States,
0013c00001q9V8XAAU,eCommerce-Physical goods,N. America,United States,
0013c00001r6d0aAAA,eCommerce-Travel & hospitality,N. America,Canada,
0013n00001t6GFSAA2,Other,N. America,United States,
0013n00001t6GFiAAM,Other,N. America,United States,
0013c00001r6fncAAA,Other,N. America,United States,
0013n00001t6GG9AAM,Other,N. America,United States,
0013n00001t6GGHAA2,Other,N. America,United States,
0013n00001t6GHGAA2,Other,N. America,United States,
0013n00001t6GHYAA2,Other,N. America,United States,
0013n00001t6GHlAAM,Other,N. America,United States,
0013c00001r6g02AAA,eCommerce-Physical goods,N. America,United States,
0013c00001r6gFqAAI,Other,N. America,United States,
0013c00001r6gUsAAI,Other,N. America,United States,
0013c00001r6gVWAAY,eCommerce-Travel & hospitality,N. America,United States,
0013c00001r6gwDAAQ,eCommerce-Physical goods,N. America,United States,
0013n00001t6GJAAA2,Other,N. America,Canada,
0013n00001t6GJZAA2,Other,N. America,United States,
0013n00001ufesUAAQ,Banks & lenders-Online Lenders,,,
0013n00001ufetGAAQ,Banks & lenders-Other,,,
0013c00001tz6wsAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz6xGAAQ,eCommerce-Physical goods,N. America,United States,
001C000000uhR6hIAE,Other,,,
001C000000xDrghIAC,Other,,,
001C000001ER6kQIAT,Other,,,
001C000001F1krVIAR,Other,,,
001C000001G2pLpIAJ,Other,,,
001C000001G4ZtgIAF,Other,,,
001C000001Js7aqIAB,Other,,,
0013c00001r6kcJAAQ,eCommerce-Travel & hospitality,N. America,United States,
0013c00001tz6z7AAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz6zFAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz70fAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz70vAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz71NAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz71xAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz72UAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz72sAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz73eAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz74QAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz750AAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz75GAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz79XAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz79zAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz7AWAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7AaAAI,eCommerce-Physical goods,N. America,United States,
0013c00001tz7AeAAI,eCommerce-Physical goods,N. America,United States,
001C000001P4OHRIA3,Other,,,
001C000001PSankIAD,Other,,,
0013c00001r6kcuAAA,eCommerce-Physical goods,N. America,United States,
0013n00001t6GPPAA2,Other,N. America,United States,
0013n00001t6GPcAAM,Other,N. America,United States,
0013n00001t6GQVAA2,Other,N. America,Canada,
0013n00001t6GQxAAM,Other,N. America,United States,
0013n00001t6GSWAA2,Other,N. America,United States,
0013c00001r6kleAAA,Other,N. America,United States,
0013c00001r6klyAAA,Other,N. America,United States,
0013n00001t6GTdAAM,Other,N. America,United States,
0013n00001t6GUKAA2,Other,N. America,United States,
0013c00001s1zTLAAY,Other,,,
0013c00001s25BwAAI,eCommerce-Physical goods,,,
0013c00001tx2dyAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tx2ekAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tx2f4AAA,eCommerce-Physical goods,N. America,United States,
0013c00001pzrhEAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001pzrhMAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001pzrhpAAA,eCommerce-Physical goods,N. America,United States,
0013n00001t6FtVAAU,Banks & lenders-Other Fintech,N. America,United States,
0013n00001t6Fw2AAE,Other,N. America,United States,
0013n00001t6FzJAAU,Insurance,N. America,United States,
0013c00001tKpAvAAK,eCommerce-Physical goods,,,
0013n00001t6FiWAAU,Other,,,
0013n00001t6FoLAAU,Other,,,
0013c00001tx2giAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tx2hAAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tx2j6AAA,eCommerce-Physical goods,N. America,United States,
0013c00001tx2kqAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz6wPAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001q5flCAAQ,Other,N. America,United States,
0013n00001t6G05AAE,Other,N. America,United States,
